id;code;name;id_categories;Sub-Category
58;OFF-PA-10000587;Array Parchment Paper, Assorted Colors;14;Paper
59;OFF-BI-10001460;Plastic Binding Combs;12;Binders
60;OFF-AR-10001868;Prang Dustless Chalk Sticks;10;Art
61;TEC-AC-10004633;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack;15;Accessories
62;OFF-BI-10001078;"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""";12;Binders
63;OFF-PA-10003892;Xerox 1943;14;Paper
64;FUR-FU-10000397;Luxo Economy Swing Arm Lamp;9;Furnishings
65;FUR-CH-10001146;Global Value Mid-Back Manager's Chair, Gray;5;Chairs
66;OFF-AR-10002671;Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige;10;Art
67;TEC-PH-10002726;netTALK DUO VoIP Telephone Service;11;Phones
68;OFF-PA-10000482;Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate;14;Paper
69;OFF-BI-10004654;Avery Binding System Hidden Tab Executive Style Index Sets;12;Binders
70;OFF-PA-10004675;"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""";14;Paper
71;FUR-CH-10000513;High-Back Leather Manager's Chair;5;Chairs
72;FUR-FU-10003708;"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";9;Furnishings
73;OFF-ST-10004123;Safco Industrial Wire Shelving System;8;Storage
74;OFF-BI-10004182;Economy Binders;12;Binders
75;FUR-FU-10000260;"6"" Cubicle Wall Clock, Black";9;Furnishings
76;OFF-ST-10000615;SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h;8;Storage
77;FUR-FU-10003194;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;9;Furnishings
78;OFF-AP-10002118;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";13;Appliances
79;OFF-BI-10002309;Avery Heavy-Duty EZD  Binder With Locking Rings;12;Binders
80;OFF-AR-10002053;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;10;Art
81;OFF-ST-10002370;Sortfiler Multipurpose Personal File Organizer, Black;8;Storage
82;OFF-EN-10000927;Jet-Pak Recycled Peel 'N' Seal Padded Mailers;16;Envelopes
83;OFF-ST-10003656;Safco Industrial Wire Shelving;8;Storage
84;FUR-CH-10000863;Novimex Swivel Fabric Task Chair;5;Chairs
85;TEC-AC-10001998;LogitechÿLS21 Speaker System - PC Multimedia - 2.1-CH - Wired;15;Accessories
86;OFF-LA-10000134;Avery 511;6;Labels
87;OFF-ST-10003442;Eldon Portable Mobile Manager;8;Storage
88;OFF-AR-10004930;Turquoise Lead Holder with Pocket Clip;10;Art
89;OFF-PA-10000304;Xerox 1995;14;Paper
90;OFF-PA-10003177;Xerox 1999;14;Paper
91;FUR-FU-10003799;"Seth Thomas 13 1/2"" Wall Clock";9;Furnishings
92;OFF-BI-10002852;Ibico Standard Transparent Covers;12;Binders
93;OFF-BI-10004738;Flexible Leather- Look Classic Collection Ring Binder;12;Binders
94;FUR-FU-10000629;9-3/4 Diameter Round Wall Clock;9;Furnishings
95;OFF-BI-10001721;Trimflex Flexible Post Binders;12;Binders
96;OFF-AP-10000358;Fellowes Basic Home/Office Series Surge Protectors;13;Appliances
97;OFF-PA-10003256;Avery Personal Creations Heavyweight Cards;14;Paper
98;TEC-AC-10001767;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;15;Accessories
99;OFF-BI-10002609;Avery Hidden Tab Dividers for Binding Systems;12;Binders
100;OFF-PA-10004040;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);14;Paper
101;TEC-AC-10001552;Logitech K350 2.4Ghz Wireless Keyboard;15;Accessories
102;FUR-FU-10004006;Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;9;Furnishings
103;OFF-BI-10002794;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";12;Binders
104;TEC-AC-10003499;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;15;Accessories
105;TEC-PH-10002844;Speck Products Candyshell Flip Case;11;Phones
106;OFF-AR-10000390;Newell Chalk Holder;10;Art
107;TEC-AC-10000844;LogitechÿGaming G510s - Keyboard;15;Accessories
108;FUR-FU-10001934;Magnifier Swing Arm Lamp;9;Furnishings
109;OFF-AR-10000380;Hunt PowerHouse Electric Pencil Sharpener, Blue;10;Art
110;OFF-BI-10003981;"Avery Durable Plastic 1"" Binders";12;Binders
111;OFF-FA-10000621;OIC Colored Binder Clips, Assorted Sizes;17;Fasteners
112;OFF-EN-10002600;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;16;Envelopes
113;OFF-PA-10004965;Xerox 1921;14;Paper
114;OFF-EN-10002504;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;16;Envelopes
115;FUR-TA-10001768;Hon Racetrack Conference Tables;7;Tables
116;OFF-BI-10003650;GBC DocuBind 300 Electric Binding Machine;12;Binders
117;FUR-FU-10002157;Artistic Insta-Plaque;9;Furnishings
118;OFF-ST-10000777;Companion Letter/Legal File, Black;8;Storage
119;OFF-EN-10002500;Globe Weis Peel & Seel First Class Envelopes;16;Envelopes
120;TEC-PH-10003875;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;11;Phones
121;FUR-CH-10004063;Global Deluxe High-Back Manager's Chair;5;Chairs
122;FUR-TA-10004534;Bevis 44 x 96 Conference Tables;7;Tables
123;OFF-BI-10003274;Avery Durable Slant Ring Binders, No Labels;12;Binders
124;OFF-ST-10002974;Trav-L-File Heavy-Duty Shuttle II, Black;8;Storage
125;FUR-FU-10003773;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;9;Furnishings
126;TEC-PH-10002293;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;11;Phones
127;OFF-PA-10002377;Xerox 1916;14;Paper
128;OFF-FA-10002780;Staples;17;Fasteners
129;OFF-PA-10001804;Xerox 195;14;Paper
130;OFF-PA-10001736;Xerox 1880;14;Paper
131;OFF-AR-10001149;Sanford Colorific Colored Pencils, 12/Box;10;Art
132;OFF-FA-10002988;Ideal Clamps;17;Fasteners
133;OFF-BI-10004781;GBC Wire Binding Strips;12;Binders
134;OFF-SU-10001218;Fiskars Softgrip Scissors;18;Supplies
135;OFF-AR-10000940;Newell 343;10;Art
136;OFF-EN-10004030;Convenience Packs of Business Envelopes;16;Envelopes
137;OFF-PA-10004327;Xerox 1911;14;Paper
138;OFF-AP-10001058;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;13;Appliances
139;FUR-FU-10000521;"Seth Thomas 14"" Putty-Colored Wall Clock";9;Furnishings
140;TEC-PH-10000215;Plantronics CordlessÿPhone Headsetÿwith In-line Volume - M214C;11;Phones
141;TEC-PH-10001448;Anker Astro 15000mAh USB Portable Charger;11;Phones
142;OFF-BI-10002735;GBC Prestige Therm-A-Bind Covers;12;Binders
143;OFF-AP-10000326;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;13;Appliances
144;TEC-PH-10001254;Jabra BIZ 2300 Duo QD Duo CordedÿHeadset;11;Phones
145;OFF-PA-10001950;Southworth 25% Cotton Antique Laid Paper & Envelopes;14;Paper
146;OFF-PA-10002254;Xerox 1883;14;Paper
147;OFF-ST-10001590;Tenex Personal Project File with Scoop Front Design, Black;8;Storage
148;OFF-AR-10001547;Newell 311;10;Art
149;OFF-LA-10002475;Avery 519;6;Labels
150;TEC-PH-10004536;Avaya 5420 Digital phone;11;Phones
151;OFF-PA-10002751;Xerox 1920;14;Paper
152;TEC-AC-10003657;Lenovo 17-Key USB Numeric Keypad;15;Accessories
153;OFF-EN-10001990;Staple envelope;16;Envelopes
154;OFF-BI-10004002;Wilson Jones International Size A4 Ring Binders;12;Binders
155;OFF-AR-10004441;BIC Brite Liner Highlighters;10;Art
156;TEC-MA-10000822;Lexmark MX611dhe Monochrome Laser Printer;19;Machines
157;OFF-ST-10000991;Space Solutions HD Industrial Steel Shelving.;8;Storage
158;FUR-CH-10004287;SAFCO Arco Folding Chair;5;Chairs
159;OFF-AR-10002656;Sanford Liquid Accent Highlighters;10;Art
160;OFF-AP-10002518;Kensington 7 Outlet MasterPiece Power Center;13;Appliances
161;TEC-PH-10003931;JBL Micro Wireless Portable Bluetooth Speaker;11;Phones
162;OFF-PA-10000659;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6? x 11?;14;Paper
163;OFF-PA-10001144;Xerox 1913;14;Paper
164;FUR-CH-10003817;Global Value Steno Chair, Gray;5;Chairs
165;OFF-AP-10000891;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;13;Appliances
166;OFF-LA-10003148;Avery 51;6;Labels
167;OFF-AP-10002684;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;13;Appliances
168;FUR-CH-10004698;Padded Folding Chairs, Black, 4/Carton;5;Chairs
169;OFF-SU-10002189;Acme Rosewood Handle Letter Opener;18;Supplies
170;OFF-AR-10001940;Sanford Colorific Eraseable Coloring Pencils, 12 Count;10;Art
171;OFF-ST-10003455;Tenex File Box, Personal Filing Tote with Lid, Black;8;Storage
172;TEC-AC-10004659;"ImationÿSecure+ Hardware Encrypted USB 2.0ÿFlash Drive; 16GB";15;Accessories
173;TEC-PH-10003273;AT&T TR1909W;11;Phones
174;TEC-PH-10004896;Nokia Lumia 521 (T-Mobile);11;Phones
175;TEC-AC-10002345;HP Standard 104 key PS/2 Keyboard;15;Accessories
176;OFF-BI-10001890;Avery Poly Binder Pockets;12;Binders
177;TEC-AC-10002323;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;15;Accessories
178;OFF-ST-10001328;Personal Filing Tote with Lid, Black/Gray;8;Storage
179;FUR-BO-10002613;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;4;Bookcases
180;TEC-PH-10001552;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;11;Phones
181;OFF-PA-10000061;Xerox 205;14;Paper
182;OFF-AR-10003514;4009 Highlighters by Sanford;10;Art
183;OFF-AR-10004685;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;10;Art
184;OFF-AR-10004027;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;10;Art
185;OFF-ST-10001414;Decoflex Hanging Personal Folder File;8;Storage
186;OFF-BI-10000343;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";12;Binders
187;OFF-PA-10002749;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;14;Paper
188;OFF-PA-10002666;Southworth 25% Cotton Linen-Finish Paper & Envelopes;14;Paper
189;FUR-TA-10004289;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;7;Tables
190;OFF-AP-10003622;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;13;Appliances
191;OFF-AP-10003217;Eureka Sanitaire  Commercial Upright;13;Appliances
192;FUR-FU-10002960;Eldon 200 Class Desk Accessories, Burgundy;9;Furnishings
193;TEC-PH-10001918;Nortel Business Series Terminal T7208 Digital phone;11;Phones
194;OFF-ST-10000642;Tennsco Lockers, Gray;8;Storage
195;TEC-PH-10001700;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;11;Phones
196;OFF-FA-10000134;Advantus Push Pins, Aluminum Head;17;Fasteners
197;OFF-ST-10001522;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;8;Storage
198;TEC-AC-10001266;Memorex Micro Travel Drive 8 GB;15;Accessories
199;OFF-LA-10004544;Avery 505;6;Labels
200;FUR-BO-10004695;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;4;Bookcases
201;TEC-MA-10000864;Cisco 9971 IP Video Phone Charcoal;19;Machines
202;TEC-AC-10000109;Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;15;Accessories
203;TEC-PH-10002563;Adtran 1202752G1;11;Phones
204;OFF-FA-10000585;OIC Bulk Pack Metal Binder Clips;17;Fasteners
205;OFF-PA-10004000;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;14;Paper
206;FUR-FU-10000087;"Executive Impressions 14"" Two-Color Numerals Wall Clock";9;Furnishings
207;TEC-MA-10001148;Swingline SM12-08 MicroCut Jam Free Shredder;19;Machines
208;OFF-AR-10001958;Stanley Bostitch Contemporary Electric Pencil Sharpeners;10;Art
209;OFF-AR-10001026;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;10;Art
210;FUR-TA-10003748;Bevis 36 x 72 Conference Tables;7;Tables
211;OFF-ST-10002485;Rogers Deluxe File Chest;8;Storage
212;FUR-CH-10004860;Global Low Back Tilter Chair;5;Chairs
213;FUR-CH-10004477;Global Push Button Manager's Chair, Indigo;5;Chairs
214;OFF-BI-10001679;GBC Instant Index System for Binding Systems;12;Binders
215;FUR-TA-10001705;Bush Advantage Collection Round Conference Table;7;Tables
216;FUR-TA-10003473;Bretford Rectangular Conference Table Tops;7;Tables
217;FUR-FU-10004017;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";9;Furnishings
218;TEC-AC-10003832;LogitechÿP710e Mobile Speakerphone;15;Accessories
219;OFF-PA-10002479;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);14;Paper
220;OFF-PA-10003349;Xerox 1957;14;Paper
221;FUR-FU-10000576;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;9;Furnishings
222;FUR-FU-10004351;Staple-based wall hangings;9;Furnishings
223;TEC-PH-10000011;PureGear Roll-On Screen Protector;11;Phones
224;FUR-TA-10002607;KI Conference Tables;7;Tables
225;FUR-FU-10002505;Eldon 100 Class Desk Accessories;9;Furnishings
226;OFF-ST-10002276;Safco Steel Mobile File Cart;8;Storage
227;OFF-PA-10004082;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;14;Paper
228;OFF-AP-10002945;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;13;Appliances
229;FUR-CH-10002965;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;5;Chairs
230;OFF-PA-10004569;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";14;Paper
231;OFF-ST-10001228;Fellowes Personal Hanging Folder Files, Navy;8;Storage
232;OFF-EN-10003296;Tyvek Side-Opening Peel & Seel Expanding Envelopes;16;Envelopes
233;OFF-ST-10004804;"Belkin 19"" Vented Equipment Shelf, Black";8;Storage
234;TEC-PH-10001580;Logitech Mobile Speakerphone P710e -ÿspeaker phone;11;Phones
235;TEC-AC-10000290;Sabrent 4-Port USB 2.0 Hub;15;Accessories
236;OFF-ST-10002790;Safco Industrial Shelving;8;Storage
237;OFF-BI-10003460;Acco 3-Hole Punch;12;Binders
238;OFF-AP-10002203;Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;13;Appliances
239;TEC-MA-10003353;Xerox WorkCentre 6505DN Laser Multifunction Printer;19;Machines
240;TEC-PH-10001433;Cisco Small Business SPA 502G VoIP phone;11;Phones
241;TEC-AC-10004469;Microsoft Sculpt Comfort Mouse;15;Accessories
242;OFF-AR-10003602;Quartet Omega Colored Chalk, 12/Pack;10;Art
243;OFF-FA-10003472;Bagged Rubber Bands;17;Fasteners
244;OFF-ST-10004180;Safco Commercial Shelving;8;Storage
245;OFF-EN-10004386;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;16;Envelopes
246;OFF-ST-10003208;Adjustable Depth Letter/Legal Cart;8;Storage
247;TEC-AC-10003628;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;15;Accessories
248;FUR-FU-10003274;Regeneration Desk Collection;9;Furnishings
249;OFF-BI-10002557;Presstex Flexible Ring Binders;12;Binders
250;OFF-PA-10002615;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";14;Paper
251;OFF-AR-10001427;Newell 330;10;Art
252;OFF-PA-10000673;Post-it ?Important Message? Note Pad, Neon Colors, 50 Sheets/Pad;14;Paper
253;OFF-PA-10004470;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";14;Paper
254;OFF-ST-10000876;Eldon Simplefile Box Office;8;Storage
255;OFF-LA-10002043;Avery 489;6;Labels
256;OFF-BI-10004967;Round Ring Binders;12;Binders
257;TEC-PH-10001760;Bose SoundLink Bluetooth Speaker;11;Phones
258;FUR-TA-10002903;"Bevis Round Bullnose 29"" High Table Top";7;Tables
259;OFF-PA-10000474;Easy-staple paper;14;Paper
260;TEC-AC-10001956;Microsoft Arc Touch Mouse;15;Accessories
261;OFF-PA-10004100;Xerox 216;14;Paper
262;OFF-BI-10000778;GBC VeloBinder Electric Binding Machine;12;Binders
263;OFF-SU-10000646;Premier Automatic Letter Opener;18;Supplies
264;OFF-FA-10002983;Advantus SlideClip Paper Clips;17;Fasteners
265;OFF-LA-10004689;Avery 512;6;Labels
266;TEC-AC-10002001;Logitech Wireless Gaming Headset G930;15;Accessories
267;FUR-BO-10004709;Bush Westfield Collection Bookcases, Medium Cherry Finish;4;Bookcases
268;FUR-FU-10004091;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";9;Furnishings
269;FUR-CH-10001891;Global Deluxe Office Fabric Chairs;5;Chairs
270;FUR-FU-10002918;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;9;Furnishings
271;OFF-BI-10004593;Ibico Laser Imprintable Binding System Covers;12;Binders
272;OFF-FA-10004854;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;17;Fasteners
273;OFF-PA-10002105;Xerox 223;14;Paper
274;OFF-ST-10002756;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";8;Storage
275;OFF-PA-10004243;Xerox 1939;14;Paper
276;FUR-FU-10001861;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;9;Furnishings
277;OFF-BI-10002706;Avery Premier Heavy-Duty Binder with Round Locking Rings;12;Binders
278;FUR-TA-10002533;BPI Conference Tables;7;Tables
279;FUR-FU-10002671;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;9;Furnishings
280;OFF-AR-10003651;Newell 350;10;Art
281;OFF-BI-10001072;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;12;Binders
282;OFF-AR-10002135;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;10;Art
283;OFF-AR-10002804;Faber Castell Col-Erase Pencils;10;Art
284;FUR-FU-10001918;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings;9;Furnishings
285;FUR-CH-10004086;Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;5;Chairs
286;FUR-FU-10001756;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;9;Furnishings
287;OFF-LA-10000634;Avery 509;6;Labels
288;FUR-FU-10001588;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;9;Furnishings
289;TEC-PH-10002398;AT&T 1070 Corded Phone;11;Phones
290;OFF-PA-10001937;Xerox 21;14;Paper
291;OFF-AR-10003373;Boston School Pro Electric Pencil Sharpener, 1670;10;Art
292;FUR-CH-10002602;DMI Arturo Collection Mission-style Design Wood Chair;5;Chairs
293;TEC-MA-10002927;Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier;19;Machines
294;TEC-AC-10000892;NETGEAR N750 Dual Band Wi-Fi Gigabit Router;15;Accessories
295;OFF-FA-10000624;OIC Binder Clips;17;Fasteners
296;TEC-AC-10001908;Logitech Wireless Headset h800;15;Accessories
297;FUR-FU-10001967;Telescoping Adjustable Floor Lamp;9;Furnishings
298;TEC-PH-10003645;Aastra 57i VoIP phone;11;Phones
299;OFF-ST-10000675;File Shuttle II and Handi-File, Black;8;Storage
300;FUR-CH-10003312;Hon 2090 ?Pillow Soft? Series Mid Back Swivel/Tilt Chairs;5;Chairs
301;OFF-LA-10001074;Round Specialty Laser Printer Labels;6;Labels
302;OFF-BI-10001524;GBC Premium Transparent Covers with Diagonal Lined Pattern;12;Binders
303;TEC-PH-10004614;AT&T 841000 Phone;11;Phones
304;OFF-BI-10001153;Ibico Recycled Grain-Textured Covers;12;Binders
305;OFF-BI-10001982;Wilson Jones Custom Binder Spines & Labels;12;Binders
306;OFF-BI-10001922;Storex Dura Pro Binders;12;Binders
307;TEC-CO-10001449;Hewlett Packard LaserJet 3310 Copier;20;Copiers
308;OFF-BI-10004140;Avery Non-Stick Binders;12;Binders
309;OFF-BI-10003314;Tuff Stuff Recycled Round Ring Binders;12;Binders
310;FUR-TA-10004575;Hon 5100 Series Wood Tables;7;Tables
311;OFF-FA-10000490;"OIC Binder Clips, Mini, 1/4"" Capacity, Black";17;Fasteners
312;OFF-AR-10000122;Newell 314;10;Art
313;TEC-PH-10000702;"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White";11;Phones
314;OFF-AR-10001374;BIC Brite Liner Highlighters, Chisel Tip;10;Art
315;OFF-PA-10001970;Xerox 1881;14;Paper
316;OFF-BI-10002160;Acco Hanging Data Binders;12;Binders
317;OFF-BI-10004995;GBC DocuBind P400 Electric Binding System;12;Binders
318;FUR-BO-10002268;Sauder Barrister Bookcases;4;Bookcases
319;OFF-EN-10001137;#10 Gummed Flap White Envelopes, 100/Box;16;Envelopes
320;OFF-AR-10002399;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;10;Art
321;OFF-PA-10002713;Adams Phone Message Book, 200 Message Capacity, 8 1/16? x 11?;14;Paper
322;OFF-AP-10001124;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;13;Appliances
323;OFF-LA-10001158;"Avery Address/Shipping Labels for Typewriters, 4"" x 2""";6;Labels
324;FUR-CH-10000785;Global Ergonomic Managers Chair;5;Chairs
325;OFF-AR-10003732;Newell 333;10;Art
326;FUR-FU-10000023;Eldon Wave Desk Accessories;9;Furnishings
327;OFF-BI-10002412;Wilson Jones ?Snap? Scratch Pad Binder Tool for Ring Binders;12;Binders
328;OFF-SU-10001225;Staple remover;18;Supplies
329;OFF-ST-10002406;Pizazz Global Quick File;8;Storage
330;OFF-PA-10002036;Xerox 1930;14;Paper
331;OFF-ST-10002205;File Shuttle I and Handi-File;8;Storage
332;TEC-AC-10003911;NETGEAR AC1750 Dual Band GigabitÿSmart WiFi Router;15;Accessories
333;OFF-AR-10000658;Newell 324;10;Art
334;TEC-AC-10002076;Microsoft Natural Keyboard Elite;15;Accessories
335;OFF-PA-10003039;Xerox 1960;14;Paper
336;FUR-TA-10004915;"Office Impressions End Table, 20-1/2""H x 24""W x 20""D";7;Tables
337;OFF-AP-10000696;Holmes Odor Grabber;13;Appliances
