id;code;orderDate;shipDate;shipMode;id_customers;Customer ID
152;US-2016-150147;25/4/2016;29/4/2016;Second Class;140;JL-15850
153;CA-2015-137946;1/9/2015;4/9/2015;Second Class;141;DB-13615
154;CA-2014-129924;12/7/2014;17/7/2014;Standard Class;142;AC-10420
155;CA-2015-128167;22/6/2015;26/6/2015;Second Class;108;KL-16645
156;CA-2014-122336;13/4/2014;17/4/2014;Second Class;64;JD-15895
157;US-2015-120712;20/12/2015;24/12/2015;Standard Class;80;CS-12130
158;CA-2017-169901;15/6/2017;19/6/2017;Standard Class;143;CC-12550
159;CA-2017-134306;8/7/2017;12/7/2017;Standard Class;144;TD-20995
160;CA-2016-129714;1/9/2016;3/9/2016;First Class;145;AB-10060
161;CA-2016-138520;8/4/2016;13/4/2016;Standard Class;146;JL-15505
162;CA-2016-130001;23/4/2016;28/4/2016;Standard Class;97;HK-14890
163;CA-2017-155698;8/3/2017;11/3/2017;First Class;147;VB-21745
164;CA-2017-144904;25/9/2017;1/10/2017;Standard Class;148;KW-16435
165;CA-2014-123344;24/9/2014;29/9/2014;Standard Class;149;JD-16060
166;CA-2016-155516;21/10/2016;21/10/2016;Same Day;150;MK-17905
167;CA-2017-104745;29/5/2017;4/6/2017;Standard Class;151;GT-14755
168;US-2014-119137;23/7/2014;27/7/2014;Standard Class;152;AG-10900
169;US-2016-134656;28/9/2016;1/10/2016;First Class;153;MM-18280
170;US-2017-134481;27/8/2017;1/9/2017;Standard Class;154;AR-10405
171;CA-2015-130792;28/4/2015;5/5/2015;Standard Class;155;RA-19915
172;CA-2016-134775;28/10/2016;29/10/2016;First Class;156;AS-10285
173;CA-2015-125395;26/6/2015;29/6/2015;Second Class;157;LA-16780
174;US-2015-168935;27/11/2015;2/12/2015;Standard Class;158;DO-13435
175;CA-2015-122756;3/12/2015;7/12/2015;Standard Class;159;DK-13225
176;CA-2014-115973;24/11/2014;26/11/2014;First Class;160;NG-18430
177;CA-2017-101798;11/12/2017;15/12/2017;Standard Class;161;MV-18190
178;US-2014-135972;21/9/2014;23/9/2014;Second Class;162;JG-15115
179;US-2014-134971;7/6/2014;10/6/2014;Second Class;163;BP-11095
180;CA-2017-102946;30/6/2017;5/7/2017;Standard Class;164;VP-21730
181;CA-2017-165603;17/10/2017;19/10/2017;Second Class;165;SS-20140
182;CA-2015-122259;31/10/2015;4/11/2015;Standard Class;7;HP-14815
183;CA-2016-108987;8/9/2016;10/9/2016;Second Class;166;AG-10675
184;CA-2014-113166;24/12/2014;26/12/2014;First Class;167;LF-17185
185;CA-2014-155208;16/4/2014;20/4/2014;Standard Class;71;SP-20650
186;CA-2017-117933;24/12/2017;29/12/2017;Standard Class;168;RF-19840
187;CA-2017-117457;8/12/2017;12/12/2017;Standard Class;169;KH-16510
188;CA-2017-142636;3/11/2017;7/11/2017;Standard Class;170;KC-16675
189;CA-2017-122105;24/6/2017;28/6/2017;Standard Class;171;CJ-12010
190;CA-2016-148796;14/4/2016;18/4/2016;Standard Class;172;PB-19150
191;CA-2017-154816;6/11/2017;10/11/2017;Standard Class;147;VB-21745
192;CA-2017-110478;4/3/2017;9/3/2017;Standard Class;134;SP-20860
193;CA-2014-142048;22/6/2014;25/6/2014;First Class;33;JE-15745
194;CA-2017-125388;19/10/2017;23/10/2017;Standard Class;173;MP-17965
195;CA-2017-155705;21/8/2017;23/8/2017;Second Class;174;NF-18385
196;CA-2017-149160;23/11/2017;26/11/2017;Second Class;26;JM-15265
197;CA-2014-101476;12/9/2014;13/9/2014;First Class;175;SD-20485
198;CA-2017-152275;1/10/2017;8/10/2017;Standard Class;176;KH-16630
199;US-2016-123750;15/4/2016;21/4/2016;Standard Class;177;RB-19795
200;CA-2016-127369;6/6/2016;7/6/2016;First Class;73;DB-13060
201;US-2014-150574;19/12/2014;25/12/2014;Standard Class;178;MK-18160
202;CA-2016-147375;12/6/2016;14/6/2016;Second Class;179;PO-19180
203;CA-2017-130043;15/9/2017;19/9/2017;Standard Class;180;BB-11545
204;CA-2017-157252;20/1/2017;23/1/2017;Second Class;52;CV-12805
205;CA-2016-115756;5/9/2016;7/9/2016;Second Class;8;PK-19075
206;CA-2017-154214;20/3/2017;25/3/2017;Second Class;181;TB-21595
207;CA-2016-166674;1/4/2016;3/4/2016;Second Class;182;RB-19360
208;CA-2017-147277;20/10/2017;24/10/2017;Standard Class;183;EB-13705
209;CA-2016-100153;13/12/2016;17/12/2016;Standard Class;176;KH-16630
210;US-2014-110674;12/2/2014;18/2/2014;Standard Class;184;SC-20095
211;US-2016-157945;26/9/2016;1/10/2016;Standard Class;174;NF-18385
212;CA-2015-109638;15/12/2015;22/12/2015;Standard Class;99;JH-15985
213;CA-2016-109869;22/4/2016;29/4/2016;Standard Class;185;TN-21040
214;US-2015-101399;17/1/2015;24/1/2015;Standard Class;186;JS-15940
215;CA-2017-154907;31/3/2017;4/4/2017;Standard Class;104;DS-13180
216;US-2016-100419;16/12/2016;20/12/2016;Second Class;114;CC-12670
217;CA-2015-154144;20/12/2015;24/12/2015;Standard Class;187;MH-17785
218;CA-2014-144666;9/11/2014;11/11/2014;Second Class;188;JP-15520
219;CA-2016-103891;12/7/2016;19/7/2016;Standard Class;121;KH-16690
220;CA-2016-152632;27/10/2016;2/11/2016;Standard Class;189;JE-15475
221;CA-2016-100790;26/6/2016;2/7/2016;Standard Class;190;JG-15805
222;CA-2014-134677;6/10/2014;10/10/2014;Standard Class;191;XP-21865
223;CA-2014-127691;22/7/2014;27/7/2014;Standard Class;192;EM-14065
224;CA-2017-140963;10/6/2017;13/6/2017;First Class;193;MT-18070
225;CA-2014-154627;29/10/2014;31/10/2014;First Class;194;SA-20830
226;CA-2014-133753;9/6/2014;13/6/2014;Second Class;195;CW-11905
227;CA-2014-113362;14/9/2014;19/9/2014;Standard Class;196;AJ-10960
228;CA-2016-169166;9/5/2016;14/5/2016;Standard Class;197;SS-20590
229;US-2016-120929;18/3/2016;21/3/2016;Second Class;198;RO-19780
230;CA-2015-134782;27/12/2015;31/12/2015;Standard Class;199;MD-17350
231;CA-2016-126158;25/7/2016;31/7/2016;Standard Class;184;SC-20095
232;US-2016-105578;30/5/2016;4/6/2016;Standard Class;200;MY-17380
233;CA-2017-134978;12/11/2017;15/11/2017;Second Class;183;EB-13705
234;CA-2015-145352;16/3/2015;22/3/2015;Standard Class;201;CM-12385
235;CA-2017-135307;26/11/2017;27/11/2017;First Class;202;LS-17245
236;CA-2016-106341;20/10/2016;23/10/2016;First Class;167;LF-17185
237;CA-2017-163405;21/12/2017;25/12/2017;Standard Class;203;BN-11515
238;CA-2017-127432;22/1/2017;27/1/2017;Standard Class;58;AD-10180
239;CA-2015-157812;22/3/2015;26/3/2015;Standard Class;204;DB-13210
240;CA-2017-145142;23/1/2017;25/1/2017;First Class;205;MC-17605
241;US-2016-139486;21/5/2016;23/5/2016;First Class;110;LH-17155
242;CA-2015-158792;26/12/2015;2/1/2016;Standard Class;206;BD-11605
243;CA-2017-113558;21/10/2017;26/10/2017;Standard Class;207;PH-18790
244;US-2015-138303;3/9/2015;7/9/2015;Standard Class;208;MG-18145
245;CA-2015-102848;7/11/2015;9/11/2015;Second Class;209;KB-16240
246;US-2017-129441;7/9/2017;11/9/2017;Standard Class;210;JC-15340
247;CA-2016-168753;29/5/2016;1/6/2016;Second Class;211;RL-19615
248;CA-2016-126613;10/7/2016;16/7/2016;Standard Class;212;AA-10375
249;US-2017-122637;3/9/2017;8/9/2017;Second Class;213;EP-13915
250;CA-2015-147851;3/12/2015;8/12/2015;Standard Class;89;MP-17470
251;CA-2015-134894;7/12/2015;11/12/2015;Standard Class;214;DK-12985
252;CA-2014-140795;1/2/2014;3/2/2014;First Class;215;BD-11500
253;CA-2016-136924;14/7/2016;17/7/2016;First Class;21;ES-14080
254;US-2015-120161;18/12/2015;23/12/2015;Standard Class;216;LM-17065
255;CA-2014-103849;11/5/2014;16/5/2014;Standard Class;39;PG-18895
256;CA-2017-162929;19/11/2017;22/11/2017;First Class;217;AS-10135
257;CA-2015-113173;15/11/2015;17/11/2015;Second Class;159;DK-13225
258;CA-2016-136406;15/4/2016;17/4/2016;Second Class;218;BD-11320
259;CA-2017-112774;11/9/2017;12/9/2017;First Class;54;RC-19960
260;CA-2017-101945;24/11/2017;28/11/2017;Standard Class;219;GT-14710
261;CA-2017-100650;29/6/2017;3/7/2017;Second Class;159;DK-13225
262;CA-2014-155852;3/3/2014;7/3/2014;Second Class;220;AJ-10945
263;CA-2016-113243;10/6/2016;15/6/2016;Standard Class;221;OT-18730
264;CA-2017-118731;20/11/2017;22/11/2017;Second Class;222;LP-17080
265;CA-2014-145576;14/9/2014;18/9/2014;Second Class;223;CA-12775
266;CA-2015-130736;7/12/2015;9/12/2015;First Class;224;JF-15490
267;CA-2017-137099;7/12/2017;10/12/2017;First Class;225;FP-14320
268;CA-2017-156951;1/10/2017;8/10/2017;Standard Class;226;EB-13840
269;CA-2017-164826;28/12/2017;4/1/2018;Standard Class;227;JF-15415
270;CA-2016-127250;3/11/2016;7/11/2016;Standard Class;228;SF-20200
271;CA-2015-149713;18/9/2015;22/9/2015;Second Class;229;TG-21640
272;CA-2017-118640;20/7/2017;26/7/2017;Standard Class;230;CS-11950
273;CA-2015-132906;10/9/2015;14/9/2015;Standard Class;231;CC-12145
274;CA-2017-145233;1/12/2017;5/12/2017;Standard Class;232;DV-13465
275;CA-2015-128139;3/7/2015;9/7/2015;Standard Class;233;BD-11725
276;US-2016-156986;20/3/2016;24/3/2016;Standard Class;234;ZC-21910
277;CA-2014-135405;9/1/2014;13/1/2014;Standard Class;235;MS-17830
278;CA-2014-131450;8/8/2014;15/8/2014;Standard Class;236;LR-16915
279;CA-2016-120180;14/7/2016;16/7/2016;First Class;237;TP-21130
280;US-2016-100720;16/7/2016;21/7/2016;Standard Class;238;CK-12205
281;CA-2014-149958;15/3/2014;19/3/2014;Standard Class;239;AS-10240
282;US-2014-105767;23/5/2014;27/5/2014;Standard Class;240;AR-10510
283;CA-2016-161816;28/4/2016;1/5/2016;First Class;241;NB-18655
284;CA-2016-121223;11/9/2016;13/9/2016;Second Class;242;GD-14590
285;CA-2017-138611;14/11/2017;17/11/2017;Second Class;243;CK-12595
286;CA-2017-117947;18/8/2017;23/8/2017;Second Class;244;NG-18355
287;US-2014-111171;26/12/2014;31/12/2014;Standard Class;245;CA-12265
288;CA-2015-138009;29/11/2015;3/12/2015;Standard Class;246;SF-20965
289;CA-2017-163020;15/9/2017;19/9/2017;Standard Class;247;MO-17800
290;CA-2017-153787;19/5/2017;23/5/2017;Standard Class;248;AT-10735
291;CA-2017-133431;17/12/2017;21/12/2017;Standard Class;96;LC-17140
292;US-2016-135720;11/12/2016;13/12/2016;Second Class;249;FM-14380
293;CA-2017-144694;24/9/2017;26/9/2017;Second Class;206;BD-11605
294;CA-2015-168004;4/10/2015;9/10/2015;Second Class;250;DJ-13420
295;US-2016-123470;15/8/2016;21/8/2016;Standard Class;251;ME-17725
296;CA-2016-115917;20/5/2016;25/5/2016;Standard Class;47;RB-19465
297;CA-2016-147067;18/12/2016;22/12/2016;Standard Class;252;JD-16150
298;CA-2017-167913;30/7/2017;3/8/2017;Second Class;253;JL-15835
299;CA-2017-106103;10/6/2017;15/6/2017;Standard Class;254;SC-20305
300;US-2017-127719;21/7/2017;25/7/2017;Standard Class;70;TW-21025
301;CA-2017-126221;30/12/2017;5/1/2018;Standard Class;255;CC-12430
302;CA-2016-103947;1/4/2016;8/4/2016;Standard Class;122;BB-10990
303;CA-2016-160745;11/12/2016;16/12/2016;Second Class;256;AR-10825
304;CA-2016-132661;23/10/2016;29/10/2016;Standard Class;257;SR-20740
305;CA-2017-140844;19/6/2017;23/6/2017;Standard Class;154;AR-10405
306;CA-2016-137239;22/8/2016;28/8/2016;Standard Class;258;CR-12730
307;US-2016-156097;19/9/2016;19/9/2016;Same Day;259;EH-14125
308;CA-2015-146563;24/8/2015;28/8/2015;Standard Class;91;CB-12025
309;CA-2016-123666;26/3/2016;30/3/2016;Standard Class;260;SP-20545
310;CA-2016-143308;4/11/2016;4/11/2016;Same Day;117;RC-19825
311;CA-2017-132682;8/6/2017;10/6/2017;Second Class;261;TH-21235
312;CA-2014-156314;24/12/2014;26/12/2014;First Class;262;RP-19390
313;US-2017-106663;9/6/2017;13/6/2017;Standard Class;247;MO-17800
314;CA-2017-111178;15/6/2017;22/6/2017;Standard Class;144;TD-20995
315;CA-2017-130351;5/12/2017;8/12/2017;First Class;263;RB-19570
316;US-2017-119438;18/3/2017;23/3/2017;Standard Class;264;CD-11980
317;CA-2016-164511;19/11/2016;24/11/2016;Standard Class;265;DJ-13630
318;US-2017-168116;4/11/2017;4/11/2017;Same Day;266;GT-14635
319;CA-2014-157784;5/7/2014;8/7/2014;First Class;267;MC-17845
320;CA-2017-161480;25/12/2017;29/12/2017;Standard Class;268;RA-19285
321;US-2014-117135;21/6/2014;23/6/2014;Second Class;269;NP-18325
322;CA-2015-131534;28/3/2015;2/4/2015;Standard Class;270;AB-10165
323;CA-2015-119291;14/5/2015;17/5/2015;First Class;271;JO-15550
324;CA-2017-114552;2/9/2017;8/9/2017;Standard Class;115;Dl-13600
325;CA-2016-163755;4/11/2016;8/11/2016;Second Class;156;AS-10285
326;CA-2015-142027;9/4/2015;14/4/2015;Standard Class;272;JK-15370
327;CA-2014-138527;12/9/2014;17/9/2014;Standard Class;273;BN-11470
328;CA-2014-112158;2/12/2014;4/12/2014;First Class;274;DP-13165
329;CA-2014-113887;5/4/2014;7/4/2014;First Class;275;TH-21550
330;CA-2017-146136;3/9/2017;7/9/2017;Standard Class;276;AP-10915
331;US-2017-100048;19/5/2017;24/5/2017;Standard Class;277;RS-19765
332;CA-2014-153150;1/7/2014;6/7/2014;Second Class;115;Dl-13600
333;CA-2014-130092;11/1/2014;14/1/2014;First Class;278;SV-20365
334;CA-2017-108910;24/9/2017;29/9/2017;Standard Class;111;KC-16540
335;CA-2014-104472;2/6/2014;7/6/2014;Standard Class;279;CK-12325
336;CA-2016-112942;13/2/2016;18/2/2016;Standard Class;280;RD-19810
337;CA-2016-142335;15/12/2016;19/12/2016;Standard Class;173;MP-17965
338;CA-2014-117429;7/10/2014;13/10/2014;Standard Class;281;MR-17545
339;CA-2016-114713;7/7/2016;12/7/2016;Standard Class;282;SC-20695
340;CA-2017-144113;16/9/2017;20/9/2017;Standard Class;283;JF-15355
341;US-2016-150861;3/12/2016;6/12/2016;First Class;284;EG-13900
342;CA-2017-131954;21/1/2017;25/1/2017;Standard Class;285;DS-13030
343;CA-2014-132500;8/9/2014;12/9/2014;Standard Class;48;GZ-14470
344;CA-2014-112326;4/1/2014;8/1/2014;Standard Class;286;PO-19195
345;US-2016-146710;27/8/2016;1/9/2016;Standard Class;287;SS-20875
346;CA-2014-124429;27/5/2014;27/5/2014;Same Day;187;MH-17785
347;CA-2016-150889;20/3/2016;22/3/2016;Second Class;288;PB-19105
348;CA-2017-126074;2/10/2017;6/10/2017;Standard Class;289;RF-19735
349;CA-2016-110499;7/4/2016;9/4/2016;First Class;290;YC-21895
350;CA-2015-135272;7/12/2015;12/12/2015;Standard Class;235;MS-17830
351;CA-2016-140928;18/9/2016;22/9/2016;Standard Class;241;NB-18655
352;CA-2014-106803;29/12/2014;2/1/2015;Standard Class;291;DC-13285
353;CA-2017-117240;23/7/2017;28/7/2017;Standard Class;292;CP-12340
354;CA-2017-133333;18/9/2017;22/9/2017;Standard Class;293;BF-11020
355;CA-2015-112319;31/8/2015;5/9/2015;Standard Class;240;AR-10510
356;CA-2017-126046;3/11/2017;7/11/2017;Standard Class;37;JC-16105
357;CA-2015-114923;8/2/2015;13/2/2015;Standard Class;294;LH-17020
358;CA-2014-162775;13/1/2014;15/1/2014;Second Class;295;CS-12250
359;CA-2014-106810;14/5/2014;20/5/2014;Standard Class;296;AJ-10795
360;CA-2016-157245;19/5/2016;24/5/2016;Standard Class;98;LE-16810
361;CA-2017-104220;30/1/2017;5/2/2017;Standard Class;297;BV-11245
362;CA-2014-165974;29/6/2014;6/7/2014;Standard Class;298;DL-12865
363;CA-2015-144267;21/8/2015;23/8/2015;First Class;126;NZ-18565
