id;city;postalCode;id_states;id_regions
403;Fargo;58103;47;3
404;Elkhart;46514;15;3
405;San Gabriel;91776;2;2
406;Margate;33063;3;1
407;Sandy Springs;30328;33;1
408;Mentor;44060;25;4
409;Lawton;73505;27;3
410;Hampton;23666;18;1
411;Rome;13440;16;4
412;La Crosse;54601;7;3
413;Lewiston;83501;46;2
414;Hattiesburg;39401;36;1
415;Danville;94526;2;2
416;Logan;84321;8;2
417;Waterbury;6708;30;4
418;Athens;30605;33;1
419;Avondale;85323;17;2
420;Marietta;30062;33;1
421;Yuma;85364;17;2
422;Wausau;54401;7;3
423;Pasco;99301;5;2
424;Oak Park;60302;11;3
425;Pensacola;32503;3;1
426;League City;77573;6;3
427;Gaithersburg;20877;40;4
428;Lehi;84043;8;2
429;Tuscaloosa;35401;20;1
430;Moreno Valley;92553;2;2
431;Georgetown;40324;1;1
432;Loveland;80538;23;2
433;Chandler;85224;17;2
434;Helena;59601;38;2
435;Kirkwood;63122;26;3
436;Waco;76706;6;3
437;Frankfort;60423;11;3
438;Bethlehem;18018;10;4
439;Grand Island;68801;9;3
440;Woodbury;55125;12;3
441;Rogers;72756;37;1
442;Clovis;88101;28;2
443;Jupiter;33458;3;1
444;Santa Barbara;93101;2;2
445;Cedar Hill;75104;6;3
446;Norfolk;68701;9;3
447;Draper;84020;8;2
448;Ann Arbor;48104;13;3
449;La Mesa;91941;2;2
450;Pocatello;83201;46;2
451;Holland;49423;13;3
452;Milford;6460;30;4
453;Buffalo Grove;60089;11;3
454;Lake Forest;92630;2;2
455;Redding;96003;2;2
456;Chico;95928;2;2
457;Utica;13501;16;4
458;Conway;72032;37;1
459;Cheyenne;82001;48;2
460;Owensboro;42301;1;1
461;Caldwell;83605;46;2
462;Kenner;70065;29;1
463;Nashua;3060;39;4
464;Bartlett;38134;19;1
465;Redwood City;94061;2;2
466;Lebanon;37087;19;1
467;Santa Maria;93454;2;2
468;Des Plaines;60016;11;3
469;Longview;98632;5;2
470;Hendersonville;37075;19;1
471;Waterloo;50701;24;3
472;Cambridge;2138;32;4
473;Palatine;60067;11;3
474;Beverly;1915;32;4
475;Eugene;97405;22;2
476;Oxnard;93030;2;2
477;Renton;98059;5;2
478;Glenview;60025;11;3
479;Delray Beach;33445;3;1
480;Commerce City;80022;23;2
481;Texas City;77590;6;3
482;Wilson;27893;4;1
483;Rio Rancho;87124;28;2
484;Goldsboro;27534;4;1
485;Montebello;90640;2;2
486;El Cajon;92020;2;2
487;Beaumont;77705;6;3
488;West Palm Beach;33407;3;1
489;Abilene;79605;6;3
490;Normal;61761;11;3
491;Saint Charles;63301;26;3
492;Camarillo;93010;2;2
493;Hillsboro;97123;22;2
494;Burbank;91505;2;2
495;Modesto;95351;2;2
496;Garden City;67846;42;3
497;Atlantic City;8401;31;4
498;Longmont;80501;23;2
499;Davis;95616;2;2
500;Morgan Hill;95037;2;2
501;Clifton;7011;31;4
502;Sheboygan;53081;7;3
503;East Point;30344;33;1
504;Rapid City;57701;45;3
505;Andover;1810;32;4
506;Kissimmee;34741;3;1
507;Shelton;6484;30;4
508;Danbury;6810;30;4
509;Sanford;32771;3;1
510;San Marcos;78666;6;3
511;Greeley;80634;23;2
512;Mansfield;76063;6;3
513;Elyria;44035;25;4
514;Twin Falls;83301;46;2
515;Coral Gables;33134;3;1
516;Romeoville;60441;11;3
517;Marlborough;1752;32;4
518;Laurel;20707;40;4
519;Bryan;77803;6;3
520;Pine Bluff;71603;37;1
521;Aberdeen;57401;45;3
522;Hagerstown;21740;40;4
523;East Orange;7017;31;4
524;Arlington Heights;60004;11;3
525;Oswego;60543;11;3
526;Coon Rapids;55433;12;3
527;San Clemente;92672;2;2
528;San Luis Obispo;93405;2;2
529;Springdale;72762;37;1
530;Lodi;95240;2;2
531;Mason;45040;25;4
